iter	Passed	Remaining
0	1985	1983784
1	3661	1827154
2	4675	1553971
3	6128	1525963
4	7776	1547523
5	9411	1559249
6	10796	1531586
7	12347	1531070
8	13681	1506524
9	15050	1490006
10	16444	1478520
11	17495	1440435
12	18687	1418798
13	19803	1394746
14	20952	1375849
15	22075	1357666
16	23315	1348195
17	24512	1337303
18	25775	1330825
19	27048	1325375
20	28296	1319158
21	29422	1307959
22	30631	1301175
23	31923	1298239
24	33067	1289650
25	34330	1286082
26	35400	1275741
27	36715	1274565
28	38021	1273059
29	39238	1268696
30	40351	1261314
31	41529	1256266
32	43120	1263548
33	44583	1266705
34	45724	1260695
35	47158	1262808
36	48465	1261401
37	49699	1258188
38	51057	1258119
39	52355	1256521
40	53922	1261252
41	55242	1260066
42	56557	1258730
43	57909	1258205
44	59372	1260008
45	60790	1260737
46	62231	1261851
47	63674	1262870
48	65158	1264603
49	66206	1257916
50	67505	1256128
51	68638	1251330
52	69730	1245930
53	70952	1242975
54	72158	1239818
55	73227	1234408
56	74354	1230105
57	75615	1228092
58	76775	1224505
59	78133	1224087
60	79480	1223475
61	80691	1220784
62	81908	1218219
63	82256	1202999
64	83552	1201876
65	84956	1202260
66	86170	1199962
67	86785	1189472
68	88160	1189528
69	89450	1188410
70	90737	1187261
71	91250	1176111
72	91620	1163453
73	92997	1163722
74	94342	1163555
75	95717	1163727
76	96937	1161988
77	98098	1159569
78	99206	1156572
79	100747	1158595
80	102062	1157969
81	102535	1147900
82	103887	1147769
83	104418	1138661
84	105689	1137713
85	106995	1137137
86	108199	1135472
87	108836	1127946
88	110197	1127979
89	111583	1128237
90	111937	1118141
91	112540	1110725
92	113706	1108942
93	114767	1106163
94	115824	1103377
95	116813	1099993
96	117785	1096498
97	118148	1087449
98	119225	1085074
99	120380	1083427
100	120725	1074579
101	122208	1075910
102	123722	1077469
103	125140	1078134
104	126677	1079772
105	128182	1081087
106	128573	1073047
107	129977	1073517
108	130345	1065486
109	131620	1064927
110	133046	1065570
111	134415	1065725
112	134807	1058176
113	136077	1057586
114	137234	1056107
115	138742	1057311
116	140278	1058683
117	141553	1058051
118	142936	1058212
119	144155	1057141
120	145426	1056444
121	146628	1055245
122	147150	1049195
123	148594	1049748
124	149906	1049348
125	150288	1042478
126	151773	1043292
127	152830	1041156
128	154190	1041083
129	155628	1041513
130	156876	1040652
131	157376	1034869
132	158101	1030630
133	159242	1029132
134	159899	1024538
135	160317	1018485
136	161770	1019033
137	162952	1017865
138	164345	1017997
139	164878	1012825
140	166273	1012968
141	167710	1013347
142	168243	1008281
143	168898	1004009
144	169490	999409
145	170137	995188
146	171638	995972
147	173108	996541
148	173459	990695
149	174993	991627
150	176325	991391
151	176965	987283
152	178313	987133
153	179691	987136
154	180283	982838
155	181483	981874
156	181863	976504
157	183315	976907
